Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,SMA_50,SMA_200,RSI
2020-01-17 00:00:00-05:00,76.65454881201066,77.25320450403058,76.34674080549436,77.25078582763672,137816400,0.0,0.0,AAPL,,,
2020-01-21 00:00:00-05:00,76.87754064068324,77.32107563862897,76.58911899956098,76.7272720336914,110843200,0.0,0.0,AAPL,,,
2020-01-22 00:00:00-05:00,77.21442432913649,77.55616777084843,76.90661632258188,77.00114440917969,101832400,0.0,0.0,AAPL,,,
2020-01-23 00:00:00-05:00,77.05448902284745,77.45197308761732,76.5043028512804,77.37199401855469,104472000,0.0,0.0,AAPL,,,
2020-01-24 00:00:00-05:00,77.61920941030732,78.36570784195015,76.95753479847205,77.14900970458984,146537600,0.0,0.0,AAPL,,,
2020-01-27 00:00:00-05:00,75.14944474699271,75.56389649627694,73.89396652844282,74.88041687011719,161940000,0.0,0.0,AAPL,,,
2020-01-28 00:00:00-05:00,75.76506778148638,77.17081461349557,75.66569492593983,76.99873352050781,162234000,0.0,0.0,AAPL,,,
2020-01-29 00:00:00-05:00,78.63714587501235,79.46120445400044,77.8930663413124,78.61048126220703,216229200,0.0,0.0,AAPL,,,
2020-01-30 00:00:00-05:00,77.68947591112114,78.54988860150131,77.25563045650009,78.49656677246094,126743200,0.0,0.0,AAPL,,,
2020-01-31 00:00:00-05:00,77.78402044785376,78.20816913725739,74.72045890317578,75.01615142822266,199588400,0.0,0.0,AAPL,,,
2020-02-03 00:00:00-05:00,73.75337231306007,75.98075876987487,73.24924470798491,74.81011199951172,173788400,0.0,0.0,AAPL,,,
2020-02-04 00:00:00-05:00,76.42187506467559,77.47134392906342,76.01469422241806,77.27986907958984,136616400,0.0,0.0,AAPL,,,
2020-02-05 00:00:00-05:00,78.41173571221897,78.71228029302293,77.3041076652913,77.9100341796875,118826800,0.0,0.0,AAPL,,,
2020-02-06 00:00:00-05:00,78.18150305148818,78.82378380047355,77.62162743665891,78.82135772705078,105425600,0.0,0.0,AAPL,,,
2020-02-07 00:00:00-05:00,78.31845426530488,78.56868819994993,77.25678206283877,77.74996185302734,117684000,0.1925,0.0,AAPL,,,52.75566893364811
2020-02-10 00:00:00-05:00,76.32872251651483,78.11923217773439,76.24855365122801,78.11923217773438,109348800,0.0,0.0,AAPL,,,54.412098993865655
2020-02-11 00:00:00-05:00,78.61727767355458,78.69015846210115,77.42926892141327,77.64791870117188,94323200,0.0,0.0,AAPL,,,51.91043927250193
2020-02-12 00:00:00-05:00,78.09980747878139,79.49674620182785,78.09980747878139,79.49188995361328,113730400,0.0,0.0,AAPL,,,59.71434715096822
2020-02-13 00:00:00-05:00,78.76062560698541,79.2538054479268,78.55655195702208,78.92582702636719,94747600,0.0,0.0,AAPL,,,56.67388528370071
2020-02-14 00:00:00-05:00,78.89421987724242,79.19547772290018,78.43505615220533,78.94524383544922,80113600,0.0,0.0,AAPL,,,56.755223073005524
